Strategy,CAGR,Annualized_Volatility,Max_Drawdown,Sharpe,Calmar,Sortino,Total_Return,Best_Year,Worst_Year,Monthly_Win_Rate,Turnover,CAGR_improvement_vs_Core_Only,MaxDD_change_vs_Core_Only,Sharpe_change_vs_Core_Only,Calmar_change_vs_Core_Only
Core_Only,0.03818159146851374,0.16049543655580076,-0.3649834543951901,0.237898299714203,0.10461184201290445,0.39073638657333853,0.3121443005410591,0.3933950028281712,-0.25615614704425604,0.47619047619047616,0.0,0.0,0.0,0.0,0.0
Alpha_Always_Only,0.11577267136288505,0.054031334010481706,-0.058921276027163016,2.142695039519586,1.9648704028323019,3.6652683842341727,1.2127073077443238,0.2357715300956198,0.07745001819950059,0.6904761904761905,0.13827015276439744,0.0775910798943713,0.30606217836802707,1.904796739805383,1.8602585608193973
Core90_Alpha10,0.04707056016842204,0.14436487000085646,-0.3260512696321982,0.3260527313060496,0.1443655171823742,0.5358258888518317,0.39580782945716875,0.35987676988988904,-0.22549266075929475,0.47619047619047616,0.013827015276439744,0.008888968699908295,0.03893218476299187,0.0881544315918466,0.039753675169469746
Core85_Alpha15,0.05142792451939093,0.13638878282016,-0.3060150078851297,0.3770685789256067,0.16805687039602868,0.6199928797446268,0.4384720459355327,0.34326840434458394,-0.20978522484957396,0.47619047619047616,0.020740522914659616,0.01324633305087719,0.05896844651006039,0.13917027921140368,0.06344502838312423
Core80_Alpha20,0.05572605174603451,0.12848695348344408,-0.28552571564412044,0.4337098066008311,0.19516999237816995,0.7137712578423152,0.48165291533956167,0.32676224511200047,-0.19382387820464642,0.5,0.02765403055287949,0.017544460277520768,0.07945773875106965,0.19581150688662807,0.0905581503652655
Core90_AlphaRegime10,0.04280907661988187,0.14440296856145915,-0.3300514517925842,0.2964556549380213,0.1297042518291499,0.4872754267376359,0.3551420416880775,0.35607171652171976,-0.22845412544545163,0.47619047619047616,0.0,0.004627485151368127,0.03493200260260587,0.058557355223818275,0.025092409816245456
Core85_AlphaRegime15,0.04502240895659049,0.13640262732260913,-0.3119437491260345,0.33006995422534574,0.1443286139976477,0.5424879301904031,0.3761336806704769,0.3376476484071578,-0.21430520471351588,0.47619047619047616,0.0,0.006840817488076745,0.05303970526915558,0.09217165451114273,0.03971677198474326
SPY,0.005806430260056006,0.19430966959279786,-0.37785466741870966,0.029882353627712733,0.01536683481964711,0.04955432774036079,0.04286827623420453,0.19348232193680825,-0.20339793569526854,0.5357142857142857,0.0,-0.03237516120845774,-0.012871213023519568,-0.20801594608649027,-0.08924500719325734
QQQ,0.04387456041137172,0.19002691743692748,-0.4576144283689716,0.23088602921706755,0.09587669813591616,0.3808409076534824,0.3652125598243203,0.34080443622724244,-0.27293163216933625,0.5595238095238095,0.0,0.005692968942857979,-0.0926309739737815,-0.007012270497135459,-0.008735143876988288
VT,0.04247056542318206,0.18868793560056873,-0.4161130503639864,0.22508362968731344,0.10206496860896769,0.369921703620133,0.3519560067761789,0.47255235308846877,-0.29767666102923696,0.47619047619047616,0.0,0.004288973954668318,-0.05112959596879629,-0.012814670026889574,-0.002546873403936764
TOPIX,0.09862627703937177,0.18711167351541078,-0.4428439334854525,0.5270984711237098,0.22271113948230628,0.8716038254880877,0.9777089171297717,0.5909105629126719,-0.16794843136635618,0.5595238095238095,0.0,0.060444685570858026,-0.07786047909026239,0.28920017140950677,0.11809929746940183
