Strategy,CAGR_improvement_vs_Core_Only,MaxDD_change_vs_Core_Only,Sharpe_change_vs_Core_Only,Calmar_change_vs_Core_Only
Core_Only,0.0,0.0,0.0,0.0
Alpha_Always_Only,0.0775910798943713,0.30606217836802707,1.904796739805383,1.8602585608193973
Core90_Alpha10,0.008888968699908295,0.03893218476299187,0.0881544315918466,0.039753675169469746
Core85_Alpha15,0.01324633305087719,0.05896844651006039,0.13917027921140368,0.06344502838312423
Core80_Alpha20,0.017544460277520768,0.07945773875106965,0.19581150688662807,0.0905581503652655
Core90_AlphaRegime10,0.004627485151368127,0.03493200260260587,0.058557355223818275,0.025092409816245456
Core85_AlphaRegime15,0.006840817488076745,0.05303970526915558,0.09217165451114273,0.03971677198474326
SPY,-0.03237516120845774,-0.012871213023519568,-0.20801594608649027,-0.08924500719325734
QQQ,0.005692968942857979,-0.0926309739737815,-0.007012270497135459,-0.008735143876988288
VT,0.004288973954668318,-0.05112959596879629,-0.012814670026889574,-0.002546873403936764
TOPIX,0.060444685570858026,-0.07786047909026239,0.28920017140950677,0.11809929746940183
