Strategy,Profile,CAGR_improvement_vs_same_Core_Only,MaxDD_change_vs_same_Core_Only,Sharpe_change_vs_same_Core_Only,Calmar_change_vs_same_Core_Only
MAX_CAGR_MDD25_Core_Only,MAX_CAGR_MDD25,0.0,0.0,0.0,0.0
MAX_CAGR_MDD25_Core90_Alpha10,MAX_CAGR_MDD25,0.006886307363372035,0.02791409470750328,0.16142044620576823,0.09117277502444959
MAX_CAGR_MDD25_Core85_Alpha15,MAX_CAGR_MDD25,0.010307313564613674,0.04196643031449465,0.2537833033493394,0.15016487095914466
MAX_CAGR_MDD25_Core80_Alpha20,MAX_CAGR_MDD25,0.01371327036024117,0.056055330837801565,0.35470589747937487,0.2219761493793433
MAX_CAGR_MDD25_Core85_AlphaRegime15,MAX_CAGR_MDD25,0.003860471506426766,0.0346099626819617,0.16233467243536104,0.08707175784579141
ROBUST_MEDIAN_Core_Only,ROBUST_MEDIAN,0.0,0.0,0.0,0.0
ROBUST_MEDIAN_Core90_Alpha10,ROBUST_MEDIAN,0.006441424437243937,0.02288490668607923,0.2116854813720278,0.16146335879717427
ROBUST_MEDIAN_Core85_Alpha15,ROBUST_MEDIAN,0.00964980469413268,0.033029493659510245,0.3300971739093287,0.2630541704869807
ROBUST_MEDIAN_Core80_Alpha20,ROBUST_MEDIAN,0.012849787109135757,0.043275883544460436,0.4563696942131549,0.3912237761913147
ROBUST_MEDIAN_Core85_AlphaRegime15,ROBUST_MEDIAN,0.003192150988610143,0.027056890581616422,0.21135279025873122,0.15330866029316587
