Strategy,CAGR,Annualized_Volatility,Max_Drawdown,Sharpe,Calmar,Sortino,Total_Return,Best_Year,Worst_Year,Monthly_Win_Rate,Turnover
Alpha_Always_Only,0.11577267136288505,0.054031334010481706,-0.058921276027163016,2.142695039519586,1.9648704028323019,3.6652683842341727,1.2127073077443238,0.2357715300956198,0.07745001819950059,0.6904761904761905,0.13827015276439744
MAX_CAGR_MDD25_Core_Only,0.04978295656634679,0.08145438829699503,-0.18557691200920368,0.6111758691849799,0.2682605073409014,1.0258925969940658,0.42223546103306764,0.22423143218267305,-0.10449825993752138,0.5238095238095238,0.0
MAX_CAGR_MDD25_Core90_Alpha10,0.05666926392971883,0.07334912528162627,-0.1576628173017004,0.7725963153907481,0.359433282365351,1.3029954184629904,0.4912769102053294,0.20925609088265973,-0.08559601916960502,0.5357142857142857,0.013827015276439744
MAX_CAGR_MDD25_Core85_Alpha15,0.060090270130960466,0.0694717994086319,-0.14361048169470902,0.8649591725343193,0.41842537830004606,1.458533767452098,0.5266365332880509,0.20179083022016342,-0.07603340780373502,0.5357142857142857,0.020740522914659616
MAX_CAGR_MDD25_Core80_Alpha20,0.06349622692658796,0.06573912989979133,-0.1295215811714021,0.9658817666643548,0.4902366567202447,1.6301345898374295,0.5625562578543482,0.19797048257450678,-0.0663961183324413,0.5357142857142857,0.02765403055287949
MAX_CAGR_MDD25_Core85_AlphaRegime15,0.05364342807277356,0.0693506102197417,-0.15096694932724197,0.7735105416203409,0.3553322651866928,1.3014730768699192,0.4605924597448887,0.19679399487677784,-0.08129377431976725,0.5357142857142857,0.0
ROBUST_MEDIAN_Core_Only,0.052973107741090875,0.060867528122423006,-0.12354916019690687,0.8703016103191498,0.4287613744736493,1.4774887725818635,0.4538690052214225,0.17227743412750463,-0.059810877090454295,0.5833333333333334,0.0
ROBUST_MEDIAN_Core90_Alpha10,0.05941453217833481,0.05491242237046299,-0.10066425351082764,1.0819870916911776,0.5902247332708236,1.8498934565518674,0.5195953748394269,0.16429718686583472,-0.04477911417208591,0.5952380952380952,0.013827015276439744
ROBUST_MEDIAN_Core85_Alpha15,0.06262291243522355,0.05216842374217549,-0.09051966653739663,1.2003987842284785,0.69181554496063,2.05993878228628,0.5532774093835209,0.1683277525490101,-0.03719991347506435,0.6071428571428571,0.020740522914659616
ROBUST_MEDIAN_Core80_Alpha20,0.06582289485022663,0.04961507392626644,-0.08027327665244643,1.3266713045323046,0.819985150664964,2.2814103847483094,0.5875103908570987,0.1723521325415287,-0.029578421405703437,0.6428571428571429,0.02765403055287949
ROBUST_MEDIAN_Core85_AlphaRegime15,0.05616525872970102,0.051925327257666,-0.09649226961529045,1.081654400577881,0.5820700347668152,1.8549672474623424,0.48612764851497037,0.15384769187042568,-0.04267279720755379,0.5952380952380952,0.0
SPY,0.005806430260056006,0.19430966959279786,-0.37785466741870966,0.029882353627712733,0.01536683481964711,0.04955432774036079,0.04286827623420453,0.19348232193680825,-0.20339793569526854,0.5357142857142857,0.0
QQQ,0.04387456041137172,0.19002691743692748,-0.4576144283689716,0.23088602921706755,0.09587669813591616,0.3808409076534824,0.3652125598243203,0.34080443622724244,-0.27293163216933625,0.5595238095238095,0.0
VT,0.04247056542318206,0.18868793560056873,-0.4161130503639864,0.22508362968731344,0.10206496860896769,0.369921703620133,0.3519560067761789,0.47255235308846877,-0.29767666102923696,0.47619047619047616,0.0
