Strategy,Turnover
Alpha_Always_Only,0.13827015276439744
MAX_CAGR_MDD25_Core_Only,0.0
MAX_CAGR_MDD25_Core90_Alpha10,0.013827015276439744
MAX_CAGR_MDD25_Core85_Alpha15,0.020740522914659616
MAX_CAGR_MDD25_Core80_Alpha20,0.02765403055287949
MAX_CAGR_MDD25_Core85_AlphaRegime15,0.0
ROBUST_MEDIAN_Core_Only,0.0
ROBUST_MEDIAN_Core90_Alpha10,0.013827015276439744
ROBUST_MEDIAN_Core85_Alpha15,0.020740522914659616
ROBUST_MEDIAN_Core80_Alpha20,0.02765403055287949
ROBUST_MEDIAN_Core85_AlphaRegime15,0.0
SPY,0.0
QQQ,0.0
VT,0.0
